#OTU ID	ERR1883419	ERR1883420	ERR1883421	ERR1883422	ERR1883423	ERR1883424	ERR1883430	ERR1883436	ERR1883438	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE014.A0101	JAE015.A0101	JAE016.A0101	SRR059389	SRR059425	SRR059455	SRR059917	SRR060358	SRR1631060	SRR1631061	SRR1631063	SRR1631064	SRR1633008	SRR1761677	SRR1761682	SRR1761688	SRR1761692	SRR1761697	SRR1761698	SRR1761705	SRR1761710	SRR1761718	SRR1761721	SRR1929408	SRR1930121	SRR1930123	SRR1930141	SRR1930145	SRR3184100	SRR3184876	SRR3189411	SRR3189416	SRR3189418	SRR5975923	SRR5975924	SRR5975925	SRR5975926	SRR5975927	SRR5975928	SRR5975929	SRR5975930	SRR5975931	SRR5975932	SRR5975933	SRR5975934	SRR5975936	SRR5975937	SRR6129806	SRR6129807	SRR6129808	SRR6129809	SRR6129810	SRR6129811	SRS011247	SRS011310	SRS012281	SRS013711	SRS013942	SRS013950	SRS014107	SRS014468	SRS014477	SRS014691	SRS014692	SRS015055	SRS015064	SRS015378	SRS015755	SRS019029	SRS019120	SRS019129	SRS019333	SRS021960	SRS022149	SRS023591	SRS045313	SRS047265	SRS051378	SRS052604	SRS052668	SRS056892	SRS058105	SRS063215	SRS063478	SRS064493	SRS075406	SYN001.A0101	SYN002.A0101	SYN003.A0101	SYN005.I0101	SYN006.I0101	SYN008.I0101	SYN009.I0101	SYN012.I0101	SYN014.A0101	SYN014.C0101	SYN015.B0101	SYN015.D0101	SYN015.E0101	SYN015.I0101	SYN017.A0101	SYN017.B0101	SYN017.D0101	SYN017.E0101	SYN018.C0101	SYN018.I0101	SYN019.I0101	SYN021.I0101	SYN022.I0101	SYN023.I0101	SYN025.I0101	SYN026.I0101	SYN028.I0101
Kaistella jeonii	2	5	0	0	0	1	4	2	0	603	502	0	0	0	559	268	0	0	0	0	0	0	0	0	419	405	453	454	205	0	0	0	0	0	0	0	0	90	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	125	0	0	36	187	31	11	0	0	0	0	0	0	139	103	47	229	0	169	92	0	0	135	146	102	187	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaistella carnis	1	1	0	0	2	0	3	4	0	575	469	0	0	0	512	274	0	0	0	0	141	0	0	0	213	204	216	246	145	0	0	0	0	0	0	0	101	0	0	0	0	0	164	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	49	154	0	9	0	0	0	28	0	0	108	0	54	179	0	134	0	0	0	121	119	72	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium taklimakanense	3	0	2	1	0	0	2	3	2	1716	1555	531	0	878	1680	673	427	0	427	0	234	0	0	0	2525	2520	2792	2765	3183	0	0	167	231	0	0	150	133	94	95	254	412	388	304	175	0	586	183	145	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	114	249	424	540	0	238	7	63	96	330	52	22	79	199	0	54	0	163	316	203	103	417	118	336	208	13	132	319	361	215	499	0	163	99	29	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium lactis	1	1	1	0	0	0	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	116	0	0	91	0	0	0	0	0	0	204	0	133	284	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	30	0	0	0	0	0	0	0	0	0	38	136	0	0	0	0	0	83	0	0	102	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epilithonimonas vandammei	1	2	0	0	1	0	3	3	0	1474	1189	406	0	657	1095	665	385	0	0	0	0	0	0	0	2279	2213	2496	2530	231660	0	0	0	0	0	0	249	0	0	96	124	406	286	193	93	4511	783	8390	7674	6914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	50	71	252	41	19	39	132	50	45	0	129	237	159	82	381	0	311	145	0	107	274	303	146	509	0	127	0	22	0	0	0	0	0	75	80	0	0	103	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	176	0	0	0
Elizabethkingia anophelis	1	0	1	0	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	639	0	0	0	0	0	0	75	89	142	0	118	572	151	317	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	100	0	0	55	0	0	22	0	0	0	0	28	117	0	107	0	0	73	67	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacterium normanense	1	0	1	4	0	0	1	4	4	1964	1848	661	341	1055	1883	852	632	0	0	0	134	0	0	0	794	844	907	872	531	0	0	0	0	0	0	86	0	156	86	0	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1299	2751	758	10447	4162	7697	144	420	15	127	134	499	75	29	73	2131	52	71	310	446	623	406	174	682	132	555	293	14	226	466	416	268	1204	124	314	229	92	91	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0
Blattabacterium cuenoti	15	8	1	0	4	2	8	34	21	1674	1094	625	463	492	749	452	997	753	618	0	801	513	217	0	166	210	255	186	0	493	0	0	192	375	421	1258	452	864	656	944	681	782	558	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	57	130	0	314	0	298	5	127	83	517	143	35	149	535	153	99	0	0	164	486	96	355	0	178	368	19	109	202	186	181	526	0	208	154	31	0	0	0	0	0	126	102	0	123	177	0	0	126	121	59	104	0	0	108	244	0	419	81	0	0	271	211	126	148
Croceimicrobium hydrocarbonivorans	3	1	0	0	2	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	205	168	154	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	97	54	13	40	100	121	0	0	0	0	203	100	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0
Bacteroides sp. CBA7301	5	3	0	0	0	0	1	2	0	0	0	0	375	0	0	0	1021	1130	1131	32471	23282	17499	63086	53318	0	0	0	0	0	4634	1324	11336	755	4533	1203	2123	1325	1001	1514	2042	5245	6037	7590	1740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	97	301	136	20	60	408	247	70	0	0	0	333	161	146	0	0	181	20	69	0	0	136	94	0	0	216	23	0	83	0	0	0	0	0	0	0	0	0	0	105	159	76	0	0	0	183	388	0	0	0	0	0	131	201	0	104
